Date, Open, High, Low, Close
05/20/22, 61.0000, 64.5000, 57.9249, 62.0000
05/19/22, 64.1250, 65.1250, 61.0500, 62.1250
05/18/22, 65.3751, 65.9395, 62.0000, 64.7500
05/17/22, 63.5000, 66.0695, 63.1250, 65.3750
05/16/22, 66.5000, 66.7500, 63.0500, 64.6250
05/13/22, 64.7501, 66.5000, 62.6170, 66.5000
05/12/22, 66.7500, 67.7500, 63.7495, 64.7500
05/11/22, 69.8750, 69.8751, 65.9999, 66.7500
05/10/22, 69.9999, 70.8750, 68.0000, 70.1250
05/09/22, 69.0000, 70.6441, 67.0000, 70.0000
05/06/22, 65.0000, 69.0000, 64.8249, 69.0000
05/05/22, 66.1250, 68.4500, 64.0750, 65.0000
05/04/22, 68.2499, 68.4755, 64.4249, 66.1250
05/03/22, 70.6749, 71.7500, 65.9044, 68.2500
05/02/22, 71.3501, 73.3500, 69.9274, 70.6750
04/29/22, 72.7500, 73.4560, 69.3775, 71.3501
04/28/22, 73.7500, 75.1595, 70.9999, 72.7500
04/27/22, 75.6251, 77.1250, 72.0249, 73.7500
04/26/22, 75.0251, 75.9510, 72.1514, 75.6250
04/25/22, 77.3750, 80.7501, 72.9644, 75.0250
04/22/22, 80.8750, 81.1431, 75.2249, 77.3750
04/21/22, 82.2499, 84.2750, 75.0300, 80.8750
04/20/22, 80.7500, 84.7500, 78.2099, 82.2500
04/19/22, 81.1250, 81.9515, 79.0305, 80.7500
04/18/22, 80.7500, 84.5000, 79.3750, 81.1250
04/15/22, 82.6250, 83.5001, 80.2500, 80.7500
04/14/22, 82.4999, 83.6250, 81.3750, 82.6250
04/13/22, 85.3750, 85.3751, 79.9000, 82.5000
04/12/22, 83.5000, 86.1870, 79.3900, 85.3750
04/11/22, 80.2500, 85.5001, 79.2500, 83.5000
04/08/22, 79.2500, 81.6001, 76.2600, 80.2500
04/07/22, 82.5000, 84.0000, 77.2499, 79.7501
04/06/22, 84.2500, 85.0490, 81.0000, 83.5001
04/05/22, 83.9950, 86.1435, 83.0613, 84.2500
04/04/22, 85.7500, 89.7490, 79.9999, 83.4999
04/01/22, 81.7500, 89.2501, 81.0000, 85.7500
03/31/22, 83.5000, 84.2500, 80.5000, 81.7500
03/30/22, 87.4999, 91.0001, 82.4999, 83.5000
03/29/22, 95.0000, 98.0001, 83.4995, 87.5000
03/28/22, 104.0000, 104.0000, 94.0000, 95.0000
03/25/22, 102.2500, 104.0000, 97.6244, 104.0000
03/24/22, 96.7500, 103.5000, 95.8749, 102.2500
03/23/22, 106.0501, 107.0000, 95.0000, 96.7500
03/22/22, 106.6500, 109.7500, 102.9999, 106.0500
03/21/22, 106.5000, 115.4950, 101.1000, 106.6500
03/18/22, 102.7499, 112.5000, 100.8750, 106.5000
03/17/22, 98.0000, 132.1000, 96.4999, 102.7500
03/16/22, 106.5001, 117.0334, 95.9999, 99.0001
03/15/22, 122.0001, 123.0667, 104.0000, 106.5000
03/14/22, 134.0000, 134.0000, 110.1500, 122.0000
03/11/22, 133.5001, 135.5001, 113.1250, 134.0000
03/10/22, 137.5000, 140.0000, 116.0380, 133.5000
03/09/22, 127.4999, 139.2500, 115.7000, 136.5011
03/08/22, 143.0000, 143.0000, 121.0000, 127.5000
03/07/22, 106.5000, 158.3000, 106.5000, 143.0000
03/04/22, 109.5000, 119.0000, 100.2200, 106.5000
03/03/22, 102.7500, 118.6885, 97.5000, 110.0048
03/02/22, 108.5145, 118.7225, 98.1004, 102.8505
03/01/22, 108.0035, 118.5000, 89.3985, 109.4868
02/28/22, 83.8629, 114.0000, 83.8629, 108.0135
02/25/22, 84.3597, 85.9157, 81.7322, 83.8629
02/24/22, 81.4263, 89.8732, 81.3263, 84.3710
02/23/22, 78.8273, 81.7009, 78.5550, 81.4064
02/22/22, 80.1999, 80.9316, 78.5055, 78.8272
02/21/22, 77.4351, 80.2547, 76.1813, 80.2486
02/18/22, 76.1750, 77.4866, 75.6445, 77.3516
02/17/22, 75.0930, 76.6900, 75.0672, 76.2588
02/16/22, 75.4559, 75.5477, 74.8471, 75.1596
02/15/22, 76.5022, 76.7848, 75.1228, 75.4560
02/14/22, 76.7934, 78.1716, 76.1915, 76.5043
02/11/22, 75.0214, 77.5893, 74.8224, 76.7934
02/10/22, 74.8240, 75.1300, 74.2700, 75.0215
02/09/22, 75.0385, 75.1777, 74.4935, 74.8033
02/08/22, 75.4060, 75.6474, 74.9884, 75.0383
02/07/22, 75.7421, 76.1396, 75.3790, 75.4059
02/04/22, 76.2050, 76.5316, 75.6545, 75.7421
02/03/22, 76.2149, 76.8220, 75.9755, 76.2598
02/02/22, 76.8859, 76.9075, 75.6900, 76.2150
02/01/22, 77.3225, 77.7386, 76.3985, 76.8860
01/31/22, 78.1943, 78.1943, 77.1354, 77.3226
01/28/22, 77.9814, 78.3343, 77.3880, 78.1943
01/27/22, 79.1530, 79.7338, 77.3991, 77.9626
01/26/22, 78.7023, 80.3286, 78.5279, 79.1519
01/25/22, 78.9110, 79.3366, 78.3078, 78.7021
01/24/22, 77.3750, 79.4941, 76.9880, 78.8170
01/21/22, 76.1782, 77.7813, 76.1262, 77.5903
01/20/22, 76.1571, 76.8638, 75.9962, 76.1783
01/19/22, 77.0330, 77.1515, 75.8545, 76.1570
01/18/22, 76.5278, 77.1160, 75.8373, 77.0329
01/17/22, 76.2351, 76.7930, 75.6948, 76.3307
01/14/22, 76.4851, 76.9712, 75.6075, 76.2351
01/13/22, 74.6161, 76.6175, 74.4675, 76.4819
01/12/22, 74.4080, 74.9004, 74.3112, 74.5830
01/11/22, 75.0088, 75.1565, 74.2939, 74.4274
01/10/22, 75.4500, 75.8788, 74.8484, 74.9809
01/07/22, 76.3121, 76.5174, 75.0932, 75.7236
01/06/22, 76.7816, 77.3396, 76.0080, 76.3135
01/05/22, 75.1399, 76.8889, 75.0499, 76.7815
01/04/22, 74.4932, 75.5825, 74.3962, 75.2403
01/03/22, 74.7916, 75.5798, 74.1785, 74.5694
